name,category_name,category_label,level1_category_name,level2_category_name,level3_category_name,level4_category_name,level5_category_name,level6_category_name,latitude,longitude
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.33734162276122,-71.08431580668191
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.35128464565433,-71.06464619281473
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.297103138195084,-71.06049206139717
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.33858243925121,-71.10712221089963
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.35700353029108,-71.05358590154164
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.349331467140956,-71.1554911205568
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.341533211967935,-71.08362141278906
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.386322777492616,-71.00943214263232
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.3562837,-71.0606924
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.34672441107848,-71.08885346843817
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.35061380484179,-71.08959673851476
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.33193981107275,-71.11182010346681
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.34963764409499,-71.10351923816846
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.34266304610649,-71.08423843957509
Subway,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.33321094817993,-71.1025595028848
Subway / Harrison Ave,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,Dining and Drinking,Restaurant,Sandwich Spot,,,,42.335923273587866,-71.0740802606196
Suffolk University Sawyer Grad Lounge,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.3590087890625,-71.0619888305664
Sufra,Middle Eastern Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant,Dining and Drinking,Restaurant,Middle Eastern Restaurant,,,,42.342596,-71.097272
Sufra Mediterranean Food,Food Truck,Dining and Drinking > Food Truck,Dining and Drinking,Food Truck,,,,,42.34272191915632,-71.09741853717078
Sugar Bowl,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.35246276855469,-71.1252670288086
Sugar Factory Boston,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.359692,-71.055674
Sugar Skulls,Ice Cream Parlor,Dining and Drinking > Dessert Shop > Ice Cream Parlor,Dining and Drinking,Dessert Shop,Ice Cream Parlor,,,,42.354091,-71.055349
Suishaya,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.35131541902476,-71.06056202650379
Suite 1109 Room B Minion Cave,Wine Bar,Dining and Drinking > Bar > Wine Bar,Dining and Drinking,Bar,Wine Bar,,,,42.353164945703874,-71.11787731791499
Suite 412,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.35239892727138,-71.11591200740715
Sullivan's,Hot Dog Joint,Dining and Drinking > Restaurant > Hot Dog Joint,Dining and Drinking,Restaurant,Hot Dog Joint,,,,42.33875865617536,-71.0133762877305
Sullivan's,Seafood Restaurant,Dining and Drinking > Restaurant > Seafood Restaurant,Dining and Drinking,Restaurant,Seafood Restaurant,,,,42.363098,-71.01781
Sullivan's At Milk Bottle Plaza,Snack Place,Dining and Drinking > Snack Place,Dining and Drinking,Snack Place,,,,,42.35223,-71.050987
Sullivan's At Milk Bottle Plza,Snack Place,Dining and Drinking > Snack Place,Dining and Drinking,Snack Place,,,,,42.35223,-71.050987
Sullivan's Tap,Sports Bar,Dining and Drinking > Bar > Sports Bar,Dining and Drinking,Bar,Sports Bar,,,,42.36513759789714,-71.06114077006919
Sullivans tavern,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.33209709869013,-71.05273424713916
Sullivan’s Castle Island,Seafood Restaurant,Dining and Drinking > Restaurant > Seafood Restaurant,Dining and Drinking,Restaurant,Seafood Restaurant,,,,42.365415,-71.061625
Sullivan’s Public House,Irish Pub,Dining and Drinking > Bar > Irish Pub,Dining and Drinking,Bar,Irish Pub,,,,42.373899606515245,-71.06274105403567
Summer Shack,Seafood Restaurant,Dining and Drinking > Restaurant > Seafood Restaurant,Dining and Drinking,Restaurant,Seafood Restaurant,,,,42.34690381560328,-71.08542376836469
Summer Shack (Specticle Island),Seafood Restaurant,Dining and Drinking > Restaurant > Seafood Restaurant,Dining and Drinking,Restaurant,Seafood Restaurant,,,,42.32196763655069,-70.98738152322419
Sun Life Courtside Club,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.365722,-71.063064
Sun Pizza,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.29516354474644,-71.08749013273072
Sun Rise,Chinese Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Chinese Restaurant,,,42.362727300130715,-71.05846175016941
Sun Tuey Restaurant,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.36100301393379,-71.06399001207312
Sun pizza,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.37312972362206,-71.06528312201095
Sundai Dinnerz,Snack Place,Dining and Drinking > Snack Place,Dining and Drinking,Snack Place,,,,,42.327304,-71.10125500000001
Sunday Champagne Brunch @ The Taj,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,Dining and Drinking,Restaurant,American Restaurant,,,,42.352752124469966,-71.07173405481444
Sunfun,Sports Bar,Dining and Drinking > Bar > Sports Bar,Dining and Drinking,Bar,Sports Bar,,,,42.332874931580626,-71.03092092850503
