name,category_name,category_label,level1_category_name,level2_category_name,level3_category_name,level4_category_name,level5_category_name,level6_category_name,latitude,longitude
"""Drew's Brews"" Microbrewery",Brewery,Dining and Drinking > Brewery,Dining and Drinking,Brewery,,,,,42.34326411054095,-71.08715243041996
#1 Chinese Food,Chinese Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Chinese Restaurant,,,42.3291139409999,-71.0836044398769
#Arnie,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.34689014804837,-71.08085278177255
#BURRiTOFACEDD HQ,Burrito Restaurant,Dining and Drinking > Restaurant > Mexican Restaurant > Burrito Restaurant,Dining and Drinking,Restaurant,Mexican Restaurant,Burrito Restaurant,,,42.35338274594361,-71.05268047284112
#BlindTiger,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.35326747160922,-71.06232423639712
#NogUp5 - #bmm At Night,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.34704236234145,-71.09548960212693
#RumRedefined @ The Cyclorama,Cocktail Bar,Dining and Drinking > Bar > Cocktail Bar,Dining and Drinking,Bar,Cocktail Bar,,,,42.344483360013065,-71.0711788187638
#wjchat + #socjourn at #ONA11 Meetup,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.346181247382106,-71.07514832850873
$1 Sushi Express,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.35040512383661,-71.13199518068028
1 Hanson St,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.34355191863457,-71.06944384066321
"1 southpoint drive, dorchester,",Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.35233270716162,-71.06554480624251
1/11 Shakedown Street,Wine Bar,Dining and Drinking > Bar > Wine Bar,Dining and Drinking,Bar,Wine Bar,,,,42.38262036136386,-71.07150736011431
1/2 Time Pizza,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.365749,-71.062237
10 Garden Ct Roofdeck,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.36424675706623,-71.05314405500107
10 Otis Place Condo Association,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.35704676149045,-71.0723730422574
100% Delicias Express,Caribbean Restaurant,Dining and Drinking > Restaurant > Caribbean Restaurant,Dining and Drinking,Restaurant,Caribbean Restaurant,,,,42.3127952091814,-71.11382443429969
1000 Washington St Cafeteria,Café,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",Dining and Drinking,"Cafe, Coffee, and Tea House",Café,,,,42.34591437741658,-71.06429866216408
1000Degreepizza,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.359161540522294,-71.05909453884348
101 Bakery,Bakery,Dining and Drinking > Bakery,Dining and Drinking,Bakery,,,,,42.351288778113215,-71.06062732372041
1010 mass ave cafe,Breakfast Spot,Dining and Drinking > Breakfast Spot,Dining and Drinking,Breakfast Spot,,,,,42.327293,-71.067405
103D,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.337165310468926,-71.09769605778449
110 Grill,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,Dining and Drinking,Restaurant,American Restaurant,,,,42.32497970421583,-71.06171607971191
111 East,Thai Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Thai Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Thai Restaurant,,,42.35415441446679,-71.04563408672318
115 Salem Roofdeck,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.364366,-71.05556
"1245 commonwealth ave  allston, MA",Korean Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Korean Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Korean Restaurant,,,42.35029549547744,-71.13190748390711
1260 Boylston,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.34479245691483,-71.09603631141697
1310,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.306097147157566,-71.05857039280669
1315B 婦人科医の酒,Sake Bar,Dining and Drinking > Bar > Sake Bar,Dining and Drinking,Bar,Sake Bar,,,,42.34917410010715,-71.10395550955691
140 Supper Club,Diner,Dining and Drinking > Restaurant > Diner,Dining and Drinking,Restaurant,Diner,,,,42.34903341922553,-71.07616331241412
145 Marty's,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.35461318042243,-71.14519463555298
148 hillside st,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.33117752793474,-71.106343173674
14th floor can,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.35617789746316,-71.0582460386962
15 Hecla St,Cocktail Bar,Dining and Drinking > Bar > Cocktail Bar,Dining and Drinking,Bar,Cocktail Bar,,,,42.30708372925716,-71.05935727583642
15 Keswick,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.345496,-71.10579
15 Revere Street,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.35968435535568,-71.06672442518834
163 Vietnamese Sandwiches & Bubble Tea,Vietnamese Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Vietnamese Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Vietnamese Restaurant,,,42.35132764332276,-71.06123220444961
180 Cafe 面包工坊,Bakery,Dining and Drinking > Bakery,Dining and Drinking,Bakery,,,,,42.35173272190498,-71.05983745860428
180 Commonwealth Ave,Beer Garden,Dining and Drinking > Bar > Beer Garden,Dining and Drinking,Bar,Beer Garden,,,,42.35100602882605,-71.0795414211313
1801,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.353815196170544,-71.06384315674899
18th Floor Balcony,Wine Bar,Dining and Drinking > Bar > Wine Bar,Dining and Drinking,Bar,Wine Bar,,,,42.33451843261719,-71.10100555419922
19 West Coffee,Coffee Shop,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",Dining and Drinking,"Cafe, Coffee, and Tea House",Coffee Shop,,,,42.34689014804837,-71.08085278177255
19 blackstone market,Moroccan Restaurant,Dining and Drinking > Restaurant > Moroccan Restaurant,Dining and Drinking,Restaurant,Moroccan Restaurant,,,,42.3614465283629,-71.05631946588309
1928 Beacon Hill,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.35803623701689,-71.06973671849956
1928 Club,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.365971,-71.062838
1st Base Deck,Food Stand,Dining and Drinking > Food Stand,Dining and Drinking,Food Stand,,,,,42.34575475444008,-71.0974645614624
2 Gays & a Girl's Bar,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.3494970403241,-71.15481176745024
200 Northampton St,Karaoke Bar,Dining and Drinking > Bar > Karaoke Bar,Dining and Drinking,Bar,Karaoke Bar,,,,42.33767423488377,-71.07998453684398
209 Boston,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,Dining and Drinking,Restaurant,American Restaurant,,,,42.348597297313134,-71.07229930036996
20th Floor Kitchen,Cafeteria,Dining and Drinking > Cafeteria,Dining and Drinking,Cafeteria,,,,,42.3497478961358,-71.07447993337028
21st Amendment,Pub,Dining and Drinking > Bar > Pub,Dining and Drinking,Bar,Pub,,,,42.3582766995619,-71.06278264342059
22 Fisher - The Fish,Sports Bar,Dining and Drinking > Bar > Sports Bar,Dining and Drinking,Bar,Sports Bar,,,,42.32712383409749,-71.10085092354745
224 Boston Street Restaurant,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,Dining and Drinking,Restaurant,American Restaurant,,,,42.32236159953342,-71.06098757425853
24 Chester,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.35172570335378,-71.12890248540329
24 Hour Pizza Delivery,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.284796904709054,-71.09209142285744
24 Symphony,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.342769550031676,-71.0881096787219
24 Vinton Roof Deck,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.32968306359424,-71.0536919835812
24/6,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.34336471557617,-71.08711242675781
25 Dorchester Street,Brewery,Dining and Drinking > Brewery,Dining and Drinking,Brewery,,,,,42.33698358480846,-71.04401679590016
276 Parker Hill Ave,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.32822203231158,-71.09965529220533
278A shawmut ave,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.34300330133231,-71.069456636815
28 Glenville Rugby House,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.35045927487933,-71.13257967933694
281 Summer st,Beer Garden,Dining and Drinking > Bar > Beer Garden,Dining and Drinking,Bar,Beer Garden,,,,42.34987272962114,-71.05006074544112
28Edgy,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.3458421238304,-71.08776897463665
29 Craterside,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.28197505539738,-71.05401032838913
29 Telly,Winery,Dining and Drinking > Winery,Dining and Drinking,Winery,,,,,42.33285213608903,-71.04963458805837
2Twenty2,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.364077639701726,-71.06112405028804
30 Emerson,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.33664176972842,-71.04298942648943
300 Saratoga Cafe,Italian Restaurant,Dining and Drinking > Restaurant > Italian Restaurant,Dining and Drinking,Restaurant,Italian Restaurant,,,,42.378469173257564,-71.03193728020473
302 Summit,Brewery,Dining and Drinking > Brewery,Dining and Drinking,Brewery,,,,,42.34463488925193,-71.13937459682262
311 Omakase,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.343132,-71.073573
32 Prince St.,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.310538228835,-71.12130206924205
33 Restaurant & Lounge,Cocktail Bar,Dining and Drinking > Bar > Cocktail Bar,Dining and Drinking,Bar,Cocktail Bar,,,,42.34823756263953,-71.07319067414782
33.12,Dumpling Restaurant,Dining and Drinking > Restaurant > Dumpling Restaurant,Dining and Drinking,Restaurant,Dumpling Restaurant,,,,42.347709549563405,-71.08529357819528
354 Congress Fine Dining,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.350531929494466,-71.04842334889825
364 Rooftop Bliss,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.333201953826105,-71.11138651009409
37 Cooper Street,African Restaurant,Dining and Drinking > Restaurant > African Restaurant,Dining and Drinking,Restaurant,African Restaurant,,,,42.364189692189534,-71.05715593250626
38.13,Asian Restaurant,Dining and Drinking > Restaurant > Asian Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,,,,42.3474901624341,-71.08520852533807
38.14,Cafeteria,Dining and Drinking > Cafeteria,Dining and Drinking,Cafeteria,,,,,42.347679,-71.085296
39 Roofies,Sports Bar,Dining and Drinking > Bar > Sports Bar,Dining and Drinking,Bar,Sports Bar,,,,42.336763989486776,-71.04438231598796
3rd Base Deck,Sports Bar,Dining and Drinking > Bar > Sports Bar,Dining and Drinking,Bar,Sports Bar,,,,42.346494392942574,-71.0978189375897
42 Englewood,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.33787673363505,-71.14695379762559
42 Park Vale,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.352268818934945,-71.13348609120342
429 Marlborough,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.35006513292792,-71.08960929754133
45 A$hford,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.35451885547954,-71.12672964996469
45 Clarendon,Beer Garden,Dining and Drinking > Bar > Beer Garden,Dining and Drinking,Bar,Beer Garden,,,,42.34579899168734,-71.07267971284334
45 Hillside Roofdeck,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.33008604047803,-71.10069379019288
465 Bar and Restaurant,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.339287,-71.095112
482 Mass Ave House Bar,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.33981336449484,-71.08043056829743
49 Social,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,Dining and Drinking,Restaurant,American Restaurant,,,,42.35498874713542,-71.06185744456003
4th Wall Restaurant & Bar,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.351400633873865,-71.06453047325665
5 Spices House,Asian Restaurant,Dining and Drinking > Restaurant > Asian Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,,,,42.351512823897224,-71.06056343362596
500,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.33467908536402,-71.04524265994056
501 Cafe,Food Court,Dining and Drinking > Food Court,Dining and Drinking,Food Court,,,,,42.351174360104146,-71.07453691525103
50Kitchen,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.30105154343559,-71.05976922896872
51 Hemenway St,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.34847869406088,-71.0840145462935
520 Tremont,Gay Bar,Dining and Drinking > Bar > Gay Bar,Dining and Drinking,Bar,Gay Bar,,,,42.344593836578845,-71.07009519447989
54Kitchen,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.30094187426863,-71.05977180879941
569 e broadway,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.33533918661359,-71.04126399180143
58 franklin street,Asian Restaurant,Dining and Drinking > Restaurant > Asian Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,,,,42.357646302407964,-71.13336809633134
583,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.33369532479903,-71.03716044038562
59 Rutland House of Love,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.34031024356301,-71.07632045146016
590 Colombus,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.34008649156118,-71.08191058291443
6 London Pleasure Palace,Brewery,Dining and Drinking > Brewery,Dining and Drinking,Brewery,,,,,42.37012365497988,-71.04214360392686
60 Fenway,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.34361795179128,-71.09074054803922
601 Cafe,Coffee Shop,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",Dining and Drinking,"Cafe, Coffee, and Tea House",Coffee Shop,,,,42.347463457928946,-71.0400278285356
614 Columbus,Sports Bar,Dining and Drinking > Bar > Sports Bar,Dining and Drinking,Bar,Sports Bar,,,,42.33953724101756,-71.08273395672838
66 woodlawn st,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.29804642383177,-71.1112290486228
67 ° Brewing,Brewery,Dining and Drinking > Brewery,Dining and Drinking,Brewery,,,,,42.28626,-71.12812
68 Chinese,Chinese Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Chinese Restaurant,,,42.35601111846689,-71.06189937417123
688 Roof Deck,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.34135208737382,-71.07697192111806
69 Park Drive Boston,Beer Garden,Dining and Drinking > Bar > Beer Garden,Dining and Drinking,Bar,Beer Garden,,,,42.34259866479324,-71.09527543835797
6B Lounge,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.35817388522242,-71.06123641723543
7 Judge Tavern,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.3295356475419,-71.10259754915621
7 Roofies,Wine Bar,Dining and Drinking > Bar > Wine Bar,Dining and Drinking,Bar,Wine Bar,,,,42.33784200665567,-71.0757921626932
711 Boylston Restaurant & Lounge,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.34963411902241,-71.07988846693355
73 Tremont Café,Café,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",Dining and Drinking,"Cafe, Coffee, and Tea House",Café,,,,42.35837115915709,-71.0608076275064
731  Ultra Lounge,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.33113116567588,-71.09765296135382
74 Saint Stephen Street,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.34150791617608,-71.08791338647674
75 Cafe,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.3501411457933,-71.06064074163946
75 Chestnut,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,Dining and Drinking,Restaurant,American Restaurant,,,,42.35680468547692,-71.0709318709562
75 On Liberty Wharf,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,Dining and Drinking,Restaurant,American Restaurant,,,,42.34921232378538,-71.03958364218998
753 South,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,Dining and Drinking,Restaurant,American Restaurant,,,,42.28716899927742,-71.12919905276465
782.Lounge,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.323922120659425,-71.05666472306518
794 Dorchester Ave,Burrito Restaurant,Dining and Drinking > Restaurant > Mexican Restaurant > Burrito Restaurant,Dining and Drinking,Restaurant,Mexican Restaurant,Burrito Restaurant,,,42.323783,-71.056483
7r4shford,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.35474821790586,-71.12491592137974
8 Pizzas,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.35035715871244,-71.16686788337493
8 Wads,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.3552401208258,-71.12657215599842
805,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.35397994207785,-71.0636140307582
820 East Fifth,Beer Garden,Dining and Drinking > Bar > Beer Garden,Dining and Drinking,Bar,Beer Garden,,,,42.33419247182997,-71.02782696851763
838 beacon st boston,Breakfast Spot,Dining and Drinking > Breakfast Spot,Dining and Drinking,Breakfast Spot,,,,,42.34654024922761,-71.10428526213083
881 Party Zone,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.33259847592792,-71.11144507098405
89 Broad Street,Hotel Bar,Dining and Drinking > Bar > Hotel Bar,Dining and Drinking,Bar,Hotel Bar,,,,42.357662352655176,-71.05284941665757
89°c Crepe & Ice Cream,Creperie,Dining and Drinking > Creperie,Dining and Drinking,Creperie,,,,,42.3536418689166,-71.13241967473051
8th Floor VIP Lounge,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.35106718000685,-71.07093538337391
9 Anderson Street,Café,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",Dining and Drinking,"Cafe, Coffee, and Tea House",Café,,,,42.36078091534597,-71.0680505624024
9 Dot Bar And Bites,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.347714,-71.036805
9 Wigglesworth Street,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.33425301754967,-71.10276112348946
90+ Cellars,Winery,Dining and Drinking > Winery,Dining and Drinking,Winery,,,,,42.353058398291424,-71.0427769787477
918,Wine Bar,Dining and Drinking > Bar > Wine Bar,Dining and Drinking,Bar,Wine Bar,,,,42.34664791876985,-71.10635502817159
95G,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.35326601252213,-71.12553443575959
9th Floor Zelling Post,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.35095725901182,-71.07120824419256
@The_Iggy's Bakery,Bakery,Dining and Drinking > Bakery,Dining and Drinking,Bakery,,,,,42.35579451159202,-71.0570386162048
@kristinward's heart,Coffee Shop,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",Dining and Drinking,"Cafe, Coffee, and Tea House",Coffee Shop,,,,42.35321986561992,-71.11783103952152
A C Fuel Oil Co,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.348013781117984,-71.03587047032129
A and R Food Service,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.359303122854286,-71.06218249979526
A and R Food Service,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.35733085665156,-71.05700236373885
A&B Burgers,Burger Joint,Dining and Drinking > Restaurant > Burger Joint,Dining and Drinking,Restaurant,Burger Joint,,,,42.36594424051901,-71.05963811505028
A&B Kitchen and Bar,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,Dining and Drinking,Restaurant,American Restaurant,,,,42.36593,-71.06013
A&D Pub,Beer Garden,Dining and Drinking > Bar > Beer Garden,Dining and Drinking,Bar,Beer Garden,,,,42.35617591888509,-71.0615801204527
A&L Bakery,Bakery,Dining and Drinking > Bakery,Dining and Drinking,Bakery,,,,,42.36732752698571,-71.03585642885861
A. Boschetto's Bakery,Bakery,Dining and Drinking > Bakery,Dining and Drinking,Bakery,,,,,42.365781985925004,-71.05545100340454
A.T. O Keeffe's Provisions & Pub,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.348256,-71.084463
A.T. O'Keeffe's,Cocktail Bar,Dining and Drinking > Bar > Cocktail Bar,Dining and Drinking,Bar,Cocktail Bar,,,,42.348423,-71.084511
A1 Pizza and Grill,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.3293874310036,-71.08454376970447
A4 Pizza Truck,Food Truck,Dining and Drinking > Food Truck,Dining and Drinking,Food Truck,,,,,42.35321629457721,-71.05606326585163
A4 Truck @ SOWA,Food Truck,Dining and Drinking > Food Truck,Dining and Drinking,Food Truck,,,,,42.34146907677088,-71.06669990169904
AC Lounge,Hotel Bar,Dining and Drinking > Bar > Hotel Bar,Dining and Drinking,Bar,Hotel Bar,,,,42.344656,-71.062031
AC | Lounge,Hotel Bar,Dining and Drinking > Bar > Hotel Bar,Dining and Drinking,Bar,Hotel Bar,,,,42.334895,-71.150575
AD Biotech,Seafood Restaurant,Dining and Drinking > Restaurant > Seafood Restaurant,Dining and Drinking,Restaurant,Seafood Restaurant,,,,42.34691778447779,-71.03256357043848
AG KITCHEN,Cuban Restaurant,Dining and Drinking > Restaurant > Caribbean Restaurant > Cuban Restaurant,Dining and Drinking,Restaurant,Caribbean Restaurant,Cuban Restaurant,,,42.34936406277156,-71.07417350404624
AK's Takeout,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.33994328301829,-71.04926061205727
ALİBABA RESTURANT,Turkish Restaurant,Dining and Drinking > Restaurant > Turkish Restaurant,Dining and Drinking,Restaurant,Turkish Restaurant,,,,42.3436196728093,-71.06472512493492
AMF Roofdeck,Beer Garden,Dining and Drinking > Bar > Beer Garden,Dining and Drinking,Bar,Beer Garden,,,,42.33970392617039,-71.0800727781621
ANoel Palace,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.341734641624534,-71.07889984216926
APM Coffee,Coffee Shop,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",Dining and Drinking,"Cafe, Coffee, and Tea House",Coffee Shop,,,,42.349922063061854,-71.06001521548006
ARP’s Bar and Grille,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.34571606354401,-71.10552012871135
Abbily's,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.338272248328934,-71.08668143972018
Abbott's Frozen Custard,Dessert Shop,Dining and Drinking > Dessert Shop,Dining and Drinking,Dessert Shop,,,,,42.349033765984075,-71.15335573709481
Abe & Louie's,Steakhouse,Dining and Drinking > Restaurant > Steakhouse,Dining and Drinking,Restaurant,Steakhouse,,,,42.34895993641333,-71.08146673784249
Abigail's Tea Room,Tea Room,"Dining and Drinking > Cafe, Coffee, and Tea House > Tea Room",Dining and Drinking,"Cafe, Coffee, and Tea House",Tea Room,,,,42.35223,-71.050987
"Above and Beyond Catering, Inc.",Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.339054465225715,-71.06792735539146
Above the Behan,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.322014220709455,-71.10929598519242
Abuela's Table,Mexican Restaurant,Dining and Drinking > Restaurant > Mexican Restaurant,Dining and Drinking,Restaurant,Mexican Restaurant,,,,42.320805,-71.110535
Aceituna Grill,Middle Eastern Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant,Dining and Drinking,Restaurant,Middle Eastern Restaurant,,,,42.35508,-71.055959
Aceituna Grill,Mediterranean Restaurant,Dining and Drinking > Restaurant > Mediterranean Restaurant,Dining and Drinking,Restaurant,Mediterranean Restaurant,,,,42.35124664106072,-71.04538806950606
Aceituna Grill,Mediterranean Restaurant,Dining and Drinking > Restaurant > Mediterranean Restaurant,Dining and Drinking,Restaurant,Mediterranean Restaurant,,,,42.34924754201787,-71.08309587307936
Achilito’s,Mexican Restaurant,Dining and Drinking > Restaurant > Mexican Restaurant,Dining and Drinking,Restaurant,Mexican Restaurant,,,,42.34159716142419,-71.15426069373521
Acorn Food Service,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.36759425985455,-71.05283944765624
Across The Border,Mexican Restaurant,Dining and Drinking > Restaurant > Mexican Restaurant,Dining and Drinking,Restaurant,Mexican Restaurant,,,,42.32195932323448,-71.10934224190888
Action Kitchen,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.349273349176244,-71.04138090673881
Adalheim,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.33926319429635,-71.08242499471037
Adam's Pizza,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.36177556226439,-71.05667217485178
Adelas Bakery,Bakery,Dining and Drinking > Bakery,Dining and Drinking,Bakery,,,,,42.367272429853145,-71.0364435869509
Aeronaut Beer Garden at Hood Park,Beer Garden,Dining and Drinking > Bar > Beer Garden,Dining and Drinking,Bar,Beer Garden,,,,42.379965,-71.073798
