category,restaurant_count,percentage
Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Colombian Restaurant,1,0.03
Dining and Drinking > Restaurant > Asian Restaurant > Hotpot Restaurant,1,0.03
Dining and Drinking > Restaurant > Buffet,1,0.03
Dining and Drinking > Restaurant > Asian Restaurant > Korean Restaurant > Korean BBQ Restaurant,1,0.03
Dining and Drinking > Restaurant > Eastern European Restaurant,1,0.03
Dining and Drinking > Restaurant > Portuguese Restaurant,1,0.03
Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Peruvian Restaurant > Peruvian Roast Chicken Joint,1,0.03
Dining and Drinking > Restaurant > Jewish Restaurant > Kosher Restaurant,1,0.03
Dining and Drinking > Restaurant > Kebab Restaurant,1,0.03
Dining and Drinking > Restaurant > Middle Eastern Restaurant > Egyptian Restaurant,1,0.03
